ID,X,Y,datetime,population,X_trans,Y_trans,type
A,700559.041549204,5507469.18207366,2017-01-25T20:02:03Z,1,710559.041549204,5457469.18207366,predator
A,700582.101493715,5506761.29595475,2017-01-25T22:01:42Z,1,710582.101493715,5456761.29595475,predator
A,700970.506280688,5506200.53854144,2017-01-26T00:01:13Z,1,710970.506280688,5456200.53854144,predator
A,702832.233819636,5506238.95315748,2017-01-26T02:00:48Z,1,712832.233819636,5456238.95315748,predator
A,702843.32414513,5506251.49682754,2017-01-26T04:01:00Z,1,712843.32414513,5456251.49682754,predator
A,703646.567085173,5506275.97058171,2017-01-26T06:01:51Z,1,713646.567085173,5456275.97058171,predator
A,703810.14186772,5506374.94392481,2017-01-26T08:00:53Z,1,713810.14186772,5456374.94392481,predator
A,703810.713422207,5506389.47613809,2017-01-26T10:01:13Z,1,713810.713422207,5456389.47613809,predator
A,703906.525665818,5506360.03331148,2017-01-26T12:00:51Z,1,713906.525665818,5456360.03331148,predator
A,704020.378443857,5506517.10610735,2017-01-26T14:01:11Z,1,714020.378443857,5456517.10610735,predator
A,704023.309106283,5506506.44348253,2017-01-26T16:00:53Z,1,714023.309106283,5456506.44348253,predator
A,704023.262623054,5506505.2518408,2017-01-26T18:00:53Z,1,714023.262623054,5456505.2518408,predator
A,703915.553198819,5506590.14534973,2017-01-26T20:00:48Z,1,713915.553198819,5456590.14534973,predator
A,703627.898359392,5506446.92181176,2017-01-26T22:00:56Z,1,713627.898359392,5456446.92181176,predator
A,703593.235670493,5506382.6563573,2017-01-27T00:00:53Z,1,713593.235670493,5456382.6563573,predator
A,703630.460756843,5506393.297055,2017-01-27T02:01:16Z,1,713630.460756843,5456393.297055,predator
A,703682.131191339,5506171.80043807,2017-01-27T04:01:18Z,1,713682.131191339,5456171.80043807,predator
A,703582.373464456,5506378.46414057,2017-01-27T06:00:48Z,1,713582.373464456,5456378.46414057,predator
A,703545.188894515,5506395.0155593,2017-01-27T08:02:13Z,1,713545.188894515,5456395.0155593,predator
A,703832.889767381,5506330.73594023,2017-01-27T10:00:36Z,1,713832.889767381,5456330.73594023,predator
A,704082.577897782,5506283.33301809,2017-01-27T12:00:55Z,1,714082.577897782,5456283.33301809,predator
A,704202.561186875,5506115.889203,2017-01-27T14:00:54Z,1,714202.561186875,5456115.889203,predator
A,704039.721779579,5506080.86445973,2017-01-27T16:00:48Z,1,714039.721779579,5456080.86445973,predator
A,704051.761632076,5506067.28600738,2017-01-27T18:01:00Z,1,714051.761632076,5456067.28600738,predator
A,703874.255816705,5506002.14327065,2017-01-27T20:01:53Z,1,713874.255816705,5456002.14327065,predator
A,703960.645080919,5505841.61950939,2017-01-27T22:00:39Z,1,713960.645080919,5455841.61950939,predator
A,704092.653305661,5505909.42702778,2017-01-28T00:02:18Z,1,714092.653305661,5455909.42702778,predator
A,704103.931270574,5505894.03266654,2017-01-28T02:00:53Z,1,714103.931270574,5455894.03266654,predator
A,703595.868908851,5506009.63723808,2017-01-28T04:01:00Z,1,713595.868908851,5456009.63723808,predator
A,703257.017283072,5505903.14144254,2017-01-28T06:01:10Z,1,713257.017283072,5455903.14144254,predator
A,703255.712842783,5505928.16940551,2017-01-28T08:00:44Z,1,713255.712842783,5455928.16940551,predator
A,703235.545805536,5505932.74135297,2017-01-28T10:00:48Z,1,713235.545805536,5455932.74135297,predator
A,700875.951160147,5505735.56970424,2017-01-28T12:01:14Z,1,710875.951160147,5455735.56970424,predator
A,700164.666618407,5507203.42875619,2017-01-28T14:00:52Z,1,710164.666618407,5457203.42875619,predator
