ID,randomID,yday,timegroup,EASTING,NORTHING,group,datetime
A,C,24,191,660250.193246165,5312190.3427284,191_3,2011-01-24T13:30:48Z
A,C,24,193,659843.27061169,5312511.09501758,193_3,2011-01-24T23:31:17Z
A,C,27,204,660728.316986639,5315186.51416338,204_3,2011-01-27T03:31:18Z
A,C,28,53,652122.139430603,5303451.69022099,53_3,2010-01-28T18:30:42Z
A,C,28,211,669945.113895969,5320992.08190219,211_3,2011-01-28T13:30:53Z
A,C,28,213,668912.804716772,5320636.06090059,213_3,2011-01-28T23:30:53Z
A,C,30,221,658242.401066561,5321466.2372293,221_3,2011-01-30T13:30:42Z
A,C,30,223,657412.253478014,5323308.8384788,223_3,2011-01-30T23:30:47Z
A,C,30,474,650385.959741061,5297860.762954,474_3,2012-01-30T03:30:28Z
A,C,32,230,657960.83239525,5323457.85085495,230_3,2011-02-01T08:30:43Z
A,C,32,232,658639.531914382,5324294.67126173,232_3,2011-02-01T18:30:48Z
A,C,32,506,650975.809919297,5298821.97820342,506_3,2012-02-01T15:30:34Z
A,C,35,86,648865.874121905,5302970.22767326,86_3,2010-02-04T08:30:47Z
A,C,35,88,650474.447336137,5304842.39035344,88_3,2010-02-04T18:30:49Z
A,C,35,89,650581.78473702,5304871.18271608,89_3,2010-02-04T23:30:54Z
A,C,35,244,662604.268920589,5327343.62606484,244_3,2011-02-04T03:30:53Z
A,C,35,246,664439.699875798,5325711.83456652,246_3,2011-02-04T13:30:49Z
A,C,35,247,664540.171624828,5325885.36039982,247_3,2011-02-04T18:30:43Z
A,C,35,248,664649.69419773,5325843.09955569,248_3,2011-02-04T23:30:48Z
A,C,35,539,651301.771641286,5298366.8762724,539_3,2012-02-04T03:30:48Z
A,C,35,545,651503.326120619,5298987.74926826,545_3,2012-02-04T15:30:20Z
A,C,39,106,648347.667146799,5305687.28278846,106_3,2010-02-08T08:30:42Z
A,C,39,107,648324.048020232,5305716.68810528,107_3,2010-02-08T13:30:42Z
A,C,39,109,648241.572296167,5305521.59694803,109_3,2010-02-08T23:30:43Z
A,C,39,591,652533.277554876,5298081.97249214,591_3,2012-02-08T03:30:41Z
A,C,40,110,648187.756709601,5305676.6089303,110_3,2010-02-09T03:30:50Z
A,C,40,112,648352.775232746,5305968.79771497,112_3,2010-02-09T13:30:54Z
A,C,40,114,650278.535909937,5307591.94783316,114_3,2010-02-09T23:30:43Z
A,C,40,269,660579.515652854,5324565.94894615,269_3,2011-02-09T03:30:49Z
A,C,40,271,660643.447037453,5324751.54471322,271_3,2011-02-09T13:30:53Z
A,C,40,272,660665.508186155,5324865.09782168,272_3,2011-02-09T18:30:49Z
A,C,40,604,652451.853088631,5298026.93357947,604_3,2012-02-09T03:30:05Z
A,C,40,610,652487.531572675,5298101.86807847,610_3,2012-02-09T15:30:10Z
A,C,41,118,650201.407077244,5307227.84447988,118_3,2010-02-10T18:30:43Z
A,C,41,119,650403.776901689,5307231.6113102,119_3,2010-02-10T23:32:54Z
A,C,41,277,660706.93149922,5324825.50934766,277_3,2011-02-10T18:30:53Z
